eccv,09/18,103,101
acl,08/17,0,23
acl,08/18,27,36
naacl,06/18,11,34
naacl,06/19,64,23
icml,06/17,3,31
icml,06/18,28,45
icml,06/19,78,63
cvpr,06/15,0,0
cvpr,06/16,0,1
cvpr,06/17,0,44
cvpr,06/18,87,121
cvpr,06/19,305,150
nips,12/15,0,0
nips,12/16,0,7
nips,12/17,11,69
nips,12/18,80,100
aistats,04/18,1,12
aistats,04/19,11,20
iclr,05/18,26,55
iclr,05/19,91,73
iccv,11/17,3,42
emnlp,11/17,4,20
emnlp,11/18,52,39
